"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," ","1"
"Bending"," ","4"," "," ","1"," "," "," "
"By hand"," ","1"," "," ","3"," ","1"," "
"Carrying less than 5 kg"," ","4","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","5"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," "
"Exposure to chemicals","5"," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," ","1"
"Finger dexterity"," ","2","2"," "," ","1"," "," "
"Grasping"," ","3","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","1","2"," ","2"," "
"Keyboarding on phone"," ","4"," "," ","1"," "," "," "
"Kneeling/squatting"," ","3"," "," ","2"," "," "," "
"Lifting less than 5 kg"," ","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","5"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "
"Pinching"," ","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5"," "," "," "," "," "," "
"Reaching"," ","3","2"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2"," ","3"," "
"Stair climbing"," ","1"," "," ","4"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3"," "," "," "
"Standing (Intermittent)"," "," "," "," ","3"," ","2"," "
"Travel via car required","3"," "," "," "," "," "," ","2"
"Travel via public transportation required","2"," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","3"," "," ","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","5"," "," "," "
"Work only indoors","3"," "," "," "," "," "," ","2"
"Work outdoors > 2 hour","4"," "," "," "," "," "," ","1"
"Total","56","71","12","2","30","1","9","14"
