"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","3","4"," "," "
"Follow multiple step commands"," "," "," "," ","6","2"
"Integrating new learning into practice"," ","3","2","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","5","3"
"Practicing good judgement and decision-making"," ","3","2","3"," "," "
"Problem solving"," ","2","3","3"," "," "
"Reading electronic documents"," "," ","7","1"," "," "
"Reading paper documents (handwritten or typed)","1"," ","6","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","5","3"
"Self-starting/initiating","1","2","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","5"," "," "
"Total","2","13","28","29","16","8"
