"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","2"," "," "," "
"By hand"," ","1"," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," "," ","3"," "," "," ","2"," "," "
"Carrying more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","1","1"," "," ","2"," "," "
"Grasping"," ","1","1","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","2"," ","1"," "
"Keyboarding on phone"," ","5"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","4"," "," "," "
"Lifting less than 5 kg"," ","1","3"," "," "," ","1"," "," "
"Lifting more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," ","1","2","1"," "," ","1"," "," "
"Pulling less than 5 kg"," ","1","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","1","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","1","4"," "," "," "," "," "," "
"Reaching"," ","2","1","2"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","4","1"," "," "," "
"Stair climbing"," ","3"," "," "," ","2"," "," "," "
"Standing (Continuous)"," ","1"," "," "," ","4"," "," "," "
"Standing (Intermittent)"," "," "," "," ","3","1"," ","1"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","3"," "," ","1","1"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","3"," ","1"," "
"Work only indoors","1"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","48","35","32","6","14","27","7","4","22"
