"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","2"," ","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1"," ","6"," "," "
"Follow multiple step commands"," "," "," ","5","2"
"Integrating new learning into practice","2","1","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","6","1"
"Practicing good judgement and decision-making","1"," ","6"," "," "
"Problem solving","2"," ","5"," "," "
"Reading electronic documents","3","3","1"," "," "
"Reading paper documents (handwritten or typed)","2","4","1"," "," "
"Require instant recall of facts/data"," "," "," ","5","2"
"Self-starting/initiating","1","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","2","2","3"," "," "
"Total","16","12","35","16","5"
