"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "
"Bending"," ","1"," "," ","2"," "
"By hand"," "," "," "," ","3"," "
"Carrying less than 5 kg"," "," ","3"," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "
"Congested/cluttered working areas"," "," "," "," "," ","3"
"Exposure to chemicals","2"," "," "," "," ","1"
"Exposure to excessive dust","3"," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," ","1"
"Finger dexterity"," ","1","2"," "," "," "
"Grasping"," ","1","2"," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3"," "
"Keyboarding on phone"," ","1"," "," ","2"," "
"Kneeling/squatting"," ","1"," "," ","2"," "
"Lifting less than 5 kg"," "," ","3"," "," "," "
"Lifting more than 5 kg"," ","3"," "," "," "," "
"Other climbing"," ","3"," "," "," "," "
"Pinching"," ","1","2"," "," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "
"Pulling more than 5 kg"," ","3"," "," "," "," "
"Pushing less than 5 kg"," ","2","1"," "," "," "
"Pushing more than 5 kg"," ","2","1"," "," "," "
"Reaching"," ","1","2"," "," "," "
"Sitting (Continuous)"," ","1"," ","1","1"," "
"Sitting (Intermittent)"," "," "," ","1","2"," "
"Stair climbing"," "," "," "," ","3"," "
"Standing (Continuous)"," ","1"," "," ","2"," "
"Standing (Intermittent)"," "," "," ","1","2"," "
"Travel via car required","3"," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","1"," "
"Use of sharp tools","3"," "," "," "," "," "
"Walking"," "," "," "," ","3"," "
"Work only indoors","2"," "," "," "," ","1"
"Work outdoors > 2 hour","3"," "," "," "," "," "
"Total","32","29","17","3","26","10"
